   Time             Pg                Vg                Vr                Qg              
 2.510000000E-003  2.116179556E-001  3.127758469E+002  2.523946527E+002  3.794185704E+000 
 2.520000000E-003  2.161756564E-001  3.132620619E+002  2.530787010E+002  3.794185704E+000 
 2.530000000E-003  2.208124538E-001  3.137438247E+002  2.537591526E+002  3.794185704E+000 
 2.540000000E-003  2.255293813E-001  3.142211285E+002  2.544359976E+002  3.794185704E+000 
 2.550000000E-003  2.303274811E-001  3.146939665E+002  2.551092266E+002  3.794185704E+000 
 2.560000000E-003  2.352078045E-001  3.151623320E+002  2.557788299E+002  3.794185704E+000 
 2.570000000E-003  2.401714113E-001  3.156262184E+002  2.564447980E+002  3.794185704E+000 
 2.580000000E-003  2.452193702E-001  3.160856190E+002  2.571071214E+002  3.794185704E+000 
 2.590000000E-003  2.503527590E-001  3.165405273E+002  2.577657908E+002  3.794185704E+000 
 2.600000000E-003  2.555726640E-001  3.169909369E+002  2.584207968E+002  3.794185704E+000 
 2.610000000E-003  2.608801806E-001  3.174368414E+002  2.590721301E+002  5.797624210E+000 
 2.620000000E-003  2.662764133E-001  3.178782344E+002  2.597197813E+002  5.797624210E+000 
 2.630000000E-003  2.717624753E-001  3.183151096E+002  2.603637414E+002  5.797624210E+000 
 2.640000000E-003  2.773394888E-001  3.187474609E+002  2.610040011E+002  5.797624210E+000 
 2.650000000E-003  2.830085851E-001  3.191752820E+002  2.616405514E+002  5.797624210E+000 
 2.660000000E-003  2.887709044E-001  3.195985670E+002  2.622733832E+002  5.797624210E+000 
 2.670000000E-003  2.946275961E-001  3.200173098E+002  2.629024874E+002  5.797624210E+000 
 2.680000000E-003  3.005798184E-001  3.204315044E+002  2.635278553E+002  5.797624210E+000 
 2.690000000E-003  3.066287389E-001  3.208411450E+002  2.641494779E+002  5.797624210E+000 
 2.700000000E-003  3.127755340E-001  3.212462257E+002  2.647673463E+002  5.797624210E+000 
 2.710000000E-003  3.190213894E-001  3.216467408E+002  2.653814518E+002  5.797624210E+000 
 2.720000000E-003  3.253674999E-001  3.220426845E+002  2.659917856E+002  5.797624210E+000 
 2.730000000E-003  3.318150694E-001  3.224340514E+002  2.665983391E+002  5.797624210E+000 
 2.740000000E-003  3.383653110E-001  3.228208357E+002  2.672011036E+002  5.797624210E+000 
 2.750000000E-003  3.450194471E-001  3.232030320E+002  2.678000706E+002  5.797624210E+000 
 2.760000000E-003  3.517787091E-001  3.235806350E+002  2.683952316E+002  5.797624210E+000 
 2.770000000E-003  3.586443378E-001  3.239536391E+002  2.689865781E+002  5.797624210E+000 
 2.780000000E-003  3.656175832E-001  3.243220391E+002  2.695741017E+002  5.797624210E+000 
 2.790000000E-003  3.726997045E-001  3.246858298E+002  2.701577941E+002  5.797624210E+000 
 2.800000000E-003  3.798919702E-001  3.250450059E+002  2.707376469E+002  5.797624210E+000 
 2.810000000E-003  3.871956582E-001  3.253995625E+002  2.713136519E+002  5.797624210E+000 
 2.820000000E-003  3.946120555E-001  3.257494944E+002  2.718858010E+002  5.797624210E+000 
 2.830000000E-003  4.021424587E-001  3.260947967E+002  2.724540859E+002  5.797624210E+000 
 2.840000000E-003  4.097881735E-001  3.264354645E+002  2.730184987E+002  5.797624210E+000 
 2.850000000E-003  4.175505150E-001  3.267714929E+002  2.735790313E+002  5.797624210E+000 
 2.860000000E-003  4.254308077E-001  3.271028771E+002  2.741356758E+002  5.797624210E+000 
 2.870000000E-003  4.334303856E-001  3.274296125E+002  2.746884241E+002  8.490962739E+000 
 2.880000000E-003  4.415505919E-001  3.277516944E+002  2.752372685E+002  8.490962739E+000 
 2.890000000E-003  4.497927793E-001  3.280691182E+002  2.757822012E+002  8.490962739E+000 
 2.900000000E-003  4.581583099E-001  3.283818794E+002  2.763232145E+002  8.490962739E+000 
 2.910000000E-003  4.666485552E-001  3.286899736E+002  2.768603005E+002  8.490962739E+000 
 2.920000000E-003  4.752648962E-001  3.289933964E+002  2.773934518E+002  8.490962739E+000 
 2.930000000E-003  4.840087233E-001  3.292921435E+002  2.779226606E+002  8.490962739E+000 
 2.940000000E-003  4.928814365E-001  3.295862106E+002  2.784479196E+002  8.490962739E+000 
 2.950000000E-003  5.018844451E-001  3.298755935E+002  2.789692213E+002  8.490962739E+000 
 2.960000000E-003  5.110191679E-001  3.301602882E+002  2.794865581E+002  8.490962739E+000 
 2.970000000E-003  5.202870334E-001  3.304402906E+002  2.799999228E+002  8.490962739E+000 
 2.980000000E-003  5.296894793E-001  3.307155966E+002  2.805093082E+002  8.490962739E+000 
 2.990000000E-003  5.392279531E-001  3.309862025E+002  2.810147068E+002  8.490962739E+000 
 3.000000000E-003  5.489039116E-001  3.312521044E+002  2.815161116E+002  8.490962739E+000 
