   Time             Vo                Vo_             
 3.070000000E-003 -3.229570770E+002 -2.720128361E+002 
 3.080000000E-003 -3.229261274E+002 -2.734685963E+002 
 3.090000000E-003 -3.228950320E+002 -2.749178285E+002 
 3.100000000E-003 -3.228637951E+002 -2.763578764E+002 
 3.110000000E-003 -3.228324211E+002 -2.777863074E+002 
 3.120000000E-003 -3.228009143E+002 -2.792009005E+002 
 3.130000000E-003 -3.227692790E+002 -2.805996352E+002 
 3.140000000E-003 -3.227375193E+002 -2.819806798E+002 
 3.150000000E-003 -3.227056395E+002 -2.833423815E+002 
 3.160000000E-003 -3.226736436E+002 -2.846832553E+002 
 3.170000000E-003 -3.226415357E+002 -2.860019750E+002 
 3.180000000E-003 -3.226093198E+002 -2.872973635E+002 
 3.190000000E-003 -3.225769998E+002 -2.885683838E+002 
 3.200000000E-003 -3.225445795E+002 -2.898141307E+002 
 3.210000000E-003 -3.225120627E+002 -2.910338220E+002 
 3.220000000E-003 -3.224794531E+002 -2.922267916E+002 
 3.230000000E-003 -3.224467543E+002 -2.933924811E+002 
 3.240000000E-003 -3.224139698E+002 -2.945304334E+002 
 3.250000000E-003 -3.223811031E+002 -2.956402855E+002 
 3.260000000E-003 -3.223481575E+002 -2.967217619E+002 
 3.270000000E-003 -3.223151364E+002 -2.977746692E+002 
 3.280000000E-003  3.327174655E+002 -2.984300338E+002 
 3.290000000E-003 -3.222505381E+002 -2.986101382E+002 
 3.300000000E-003 -3.222183912E+002 -2.988795909E+002 
 3.310000000E-003 -3.221861930E+002 -2.991705358E+002 
 3.320000000E-003 -3.221539270E+002 -2.994881975E+002 
 3.330000000E-003 -3.221215941E+002 -2.998297725E+002 
 3.340000000E-003 -3.220891956E+002 -3.001926220E+002 
 3.350000000E-003 -3.220567325E+002 -3.005742649E+002 
 3.360000000E-003 -3.220242060E+002 -3.009723705E+002 
 3.370000000E-003 -3.219916175E+002 -3.013847528E+002 
 3.380000000E-003 -3.219589683E+002 -3.018093630E+002 
 3.390000000E-003  3.330735241E+002 -3.020835197E+002 
 3.400000000E-003 -3.218948271E+002 -3.017469590E+002 
 3.410000000E-003 -3.218629566E+002 -3.015832738E+002 
 3.420000000E-003 -3.218310412E+002 -3.014612925E+002 
 3.430000000E-003 -3.217990657E+002 -3.013921699E+002 
 3.440000000E-003 -3.217670301E+002 -3.013719160E+002 
 3.450000000E-003 -3.217349344E+002 -3.013967438E+002 
 3.460000000E-003 -3.217027787E+002 -3.014630611E+002 
 3.470000000E-003 -3.216705634E+002 -3.015674639E+002 
 3.480000000E-003 -3.216382889E+002 -3.017067288E+002 
 3.490000000E-003 -3.216059556E+002 -3.018778058E+002 
 3.500000000E-003  3.334264869E+002 -3.021099559E+002 
 3.510000000E-003 -3.215421289E+002 -3.015878344E+002 
 3.520000000E-003 -3.215104622E+002 -3.012914321E+002 
 3.530000000E-003 -3.214787506E+002 -3.010443207E+002 
 3.540000000E-003 -3.214469788E+002 -3.008598388E+002 
 3.550000000E-003 -3.214151464E+002 -3.007334911E+002 
 3.560000000E-003 -3.213832530E+002 -3.006610037E+002 
 3.570000000E-003 -3.213512985E+002 -3.006383171E+002 
 3.580000000E-003 -3.213192830E+002 -3.006615777E+002 
 3.590000000E-003 -3.212872066E+002 -3.007271304E+002 
 3.600000000E-003 -3.212550696E+002 -3.008315110E+002 
 3.610000000E-003  3.337774349E+002 -3.011858078E+002 
 3.620000000E-003 -3.211913127E+002 -3.006413757E+002 
 3.630000000E-003 -3.211597389E+002 -3.003504670E+002 
 3.640000000E-003 -3.211281190E+002 -3.001094696E+002 
 3.650000000E-003 -3.210964372E+002 -2.999318777E+002 
 3.660000000E-003 -3.210646929E+002 -2.998131217E+002 
 3.670000000E-003 -3.210328861E+002 -2.997488580E+002 
 3.680000000E-003 -3.210010165E+002 -2.997349607E+002 
 3.690000000E-003 -3.209690842E+002 -2.997675141E+002 
 3.700000000E-003 -3.209370895E+002 -2.998428049E+002 
 3.710000000E-003 -3.209050326E+002 -2.999573140E+002 
 3.720000000E-003 -3.208729139E+002 -3.001077094E+002 
 3.730000000E-003 -3.208407340E+002 -3.002908392E+002 
 3.740000000E-003 -3.208084936E+002 -3.005037238E+002 
 3.750000000E-003 -3.207761933E+002 -3.007435496E+002 
 3.760000000E-003 -3.207438339E+002 -3.010076618E+002 
 3.770000000E-003 -3.207114164E+002 -3.012935582E+002 
 3.780000000E-003 -3.206789417E+002 -3.015988824E+002 
 3.790000000E-003 -3.206464107E+002 -3.019214181E+002 
 3.800000000E-003 -3.206138245E+002 -3.022590825E+002 
 3.810000000E-003 -3.205811842E+002 -3.026099209E+002 
 3.820000000E-003 -3.205484909E+002 -3.029721008E+002 
 3.830000000E-003 -3.205157458E+002 -3.033439064E+002 
 3.840000000E-003 -3.204829501E+002 -3.037237335E+002 
 3.850000000E-003 -3.204501049E+002 -3.041100839E+002 
 3.860000000E-003 -3.204172116E+002 -3.045015611E+002 
 3.870000000E-003 -3.203842714E+002 -3.048968646E+002 
 3.880000000E-003 -3.203512856E+002 -3.052947861E+002 
 3.890000000E-003 -3.203182553E+002 -3.056942046E+002 
 3.900000000E-003 -3.202851819E+002 -3.060940819E+002 
 3.910000000E-003 -3.202520667E+002 -3.064934588E+002 
 3.920000000E-003 -3.202189110E+002 -3.068914509E+002 
 3.930000000E-003 -3.201857159E+002 -3.072872448E+002 
 3.940000000E-003 -3.201524828E+002 -3.076800943E+002 
 3.950000000E-003 -3.201192130E+002 -3.080693167E+002 
 3.960000000E-003 -3.200859076E+002 -3.084542897E+002 
 3.970000000E-003 -3.200525679E+002 -3.088344479E+002 
 3.980000000E-003 -3.200191952E+002 -3.092092796E+002 
 3.990000000E-003 -3.199857906E+002 -3.095783236E+002 
 4.000000000E-003 -3.199523552E+002 -3.099411667E+002 
 4.010000000E-003 -3.199188904E+002 -3.102974407E+002 
 4.020000000E-003 -3.198853972E+002 -3.106468195E+002 
 4.030000000E-003 -3.198518768E+002 -3.109890170E+002 
 4.040000000E-003 -3.198183303E+002 -3.113237842E+002 
 4.050000000E-003 -3.197847587E+002 -3.116509071E+002 
 4.060000000E-003 -3.197511631E+002 -3.119702046E+002 
 4.070000000E-003 -3.197175446E+002 -3.122815259E+002 
 4.080000000E-003 -3.196839041E+002 -3.125847491E+002 
 4.090000000E-003 -3.196502427E+002 -3.128797786E+002 
 4.100000000E-003 -3.196165614E+002 -3.131665438E+002 
 4.110000000E-003 -3.195828610E+002 -3.134449972E+002 
 4.120000000E-003 -3.195491426E+002 -3.137151125E+002 
 4.130000000E-003 -3.195154069E+002 -3.139768831E+002 
 4.140000000E-003 -3.194816549E+002 -3.142303210E+002 
 4.150000000E-003 -3.194478874E+002 -3.144754546E+002 
 4.160000000E-003 -3.194141053E+002 -3.147123282E+002 
 4.170000000E-003 -3.193803093E+002 -3.149410000E+002 
 4.180000000E-003 -3.193465002E+002 -3.151615413E+002 
 4.190000000E-003 -3.193126788E+002 -3.153740353E+002 
 4.200000000E-003 -3.192788458E+002 -3.155785759E+002 
 4.210000000E-003 -3.192450018E+002 -3.157752666E+002 
 4.220000000E-003 -3.192111476E+002 -3.159642198E+002 
 4.230000000E-003 -3.191772839E+002 -3.161455557E+002 
 4.240000000E-003 -3.191434112E+002 -3.163194015E+002 
 4.250000000E-003 -3.191095301E+002 -3.164858904E+002 
 4.260000000E-003 -3.190756414E+002 -3.166451614E+002 
 4.270000000E-003 -3.190417454E+002 -3.167973578E+002 
 4.280000000E-003 -3.190078429E+002 -3.169426271E+002 
 4.290000000E-003 -3.189739342E+002 -3.170811203E+002 
 4.300000000E-003 -3.189400200E+002 -3.172129911E+002 
 4.310000000E-003 -3.189061007E+002 -3.173383955E+002 
 4.320000000E-003 -3.188721768E+002 -3.174574914E+002 
 4.330000000E-003 -3.188382487E+002 -3.175704379E+002 
 4.340000000E-003 -3.188043168E+002 -3.176773949E+002 
 4.350000000E-003 -3.187703816E+002 -3.177785228E+002 
 4.360000000E-003 -3.187364435E+002 -3.178739823E+002 
 4.370000000E-003 -3.187025029E+002 -3.179639334E+002 
